date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:09:52	270140/270140	---MCZ	200	added ('OK')	text/html	etag:W/%226648136a-41f3c%22	https://htmldemo.net/pebona/pebona/index-5.html	E:/Pebona/htmldemo.net/pebona/pebona/index-5.html	(from )
13:09:52	400/400	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2013%20Sep%202024%2006:09:52%20GMT	https://htmldemo.net/robots.txt		(from )
13:09:52	104082/104082	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2261977481-19692%22	https://htmldemo.net/pebona/pebona/assets/images/favicon.ico	E:/Pebona/htmldemo.net/pebona/pebona/assets/images/favicon.ico	(from https://htmldemo.net/pebona/pebona/index-5.html)
13:09:53	155803/155803	---MCZ	200	added ('OK')	text/css	etag:W/%2266d9d5e1-2609b%22	https://htmldemo.net/pebona/pebona/assets/css/bootstrap.min.css	E:/Pebona/htmldemo.net/pebona/pebona/assets/css/bootstrap.min.css	(from https://htmldemo.net/pebona/pebona/index-5.html)
13:09:53	46588/46588	---MCZ	200	added ('OK')	text/css	etag:W/%2265539f0d-b5fc%22	https://htmldemo.net/pebona/pebona/assets/css/ionicons.min.css	E:/Pebona/htmldemo.net/pebona/pebona/assets/css/ionicons.min.css	(from https://htmldemo.net/pebona/pebona/index-5.html)
13:09:53	31002/31002	---MCZ	200	added ('OK')	text/css	etag:W/%2265539f0d-791a%22	https://htmldemo.net/pebona/pebona/assets/css/font-awesome.min.css	E:/Pebona/htmldemo.net/pebona/pebona/assets/css/font-awesome.min.css	(from https://htmldemo.net/pebona/pebona/index-5.html)
13:09:53	9742/9742	---MCZ	200	added ('OK')	text/css	etag:W/%2265539f0e-260e%22	https://htmldemo.net/pebona/pebona/assets/css/pe-icon-7-stroke.css	E:/Pebona/htmldemo.net/pebona/pebona/assets/css/pe-icon-7-stroke.css	(from https://htmldemo.net/pebona/pebona/index-5.html)
13:09:53	113619/113619	---MCZ	200	added ('OK')	text/css	etag:W/%2266d81349-1bbd3%22	https://htmldemo.net/pebona/pebona/assets/css/plugins.css	E:/Pebona/htmldemo.net/pebona/pebona/assets/css/plugins.css	(from https://htmldemo.net/pebona/pebona/index-5.html)
13:09:54	150933/150933	---MCZ	200	added ('OK')	text/css	etag:W/%2265539f0d-24d95%22	https://htmldemo.net/pebona/pebona/assets/css/style.css	E:/Pebona/htmldemo.net/pebona/pebona/assets/css/style.css	(from https://htmldemo.net/pebona/pebona/index-5.html)
13:09:54	43622/43622	---MCZ	200	added ('OK')	text/css	etag:W/%2266d81348-aa66%22	https://htmldemo.net/pebona/pebona/assets/css/responsive.css	E:/Pebona/htmldemo.net/pebona/pebona/assets/css/responsive.css	(from https://htmldemo.net/pebona/pebona/index-5.html)
13:09:54	15514/15514	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266e13897-3c9a%22	https://htmldemo.net/pebona/pebona/assets/js/modernizr-2.8.3.min.js	E:/Pebona/htmldemo.net/pebona/pebona/assets/js/modernizr-2.8.3.min.js	(from https://htmldemo.net/pebona/pebona/index-5.html)
13:09:54	455/455	---M--	200	added ('OK')	image/png	date:Fri,%2013%20Sep%202024%2005:33:33%20GMT	https://htmldemo.net/pebona/pebona/assets/images/icons/en-gb.png	E:/Pebona/htmldemo.net/pebona/pebona/assets/images/icons/en-gb.png	(from https://htmldemo.net/pebona/pebona/index-5.html)
13:09:55	517/517	---M--	200	added ('OK')	image/png	date:Fri,%2013%20Sep%202024%2005:33:33%20GMT	https://htmldemo.net/pebona/pebona/assets/images/icons/fr-fr.png	E:/Pebona/htmldemo.net/pebona/pebona/assets/images/icons/fr-fr.png	(from https://htmldemo.net/pebona/pebona/index-5.html)
13:09:55	232360/232360	---MCZ	200	added ('OK')	text/html	etag:W/%2266e18da8-38ba8%22	https://htmldemo.net/pebona/pebona/index.html	E:/Pebona/htmldemo.net/pebona/pebona/index.html	(from https://htmldemo.net/pebona/pebona/index-5.html)
13:09:55	1511/1511	---M--	200	added ('OK')	image/png	date:Fri,%2013%20Sep%202024%2005:33:34%20GMT	https://htmldemo.net/pebona/pebona/assets/images/logo.png	E:/Pebona/htmldemo.net/pebona/pebona/assets/images/logo.png	(from https://htmldemo.net/pebona/pebona/index-5.html)
13:09:55	2127/2127	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Sep%202024%2005:33:34%20GMT	https://htmldemo.net/pebona/pebona/assets/images/cart/cart-1.jpg	E:/Pebona/htmldemo.net/pebona/pebona/assets/images/cart/cart-1.jpg	(from https://htmldemo.net/pebona/pebona/index-5.html)
13:09:55	2260/2260	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Sep%202024%2005:33:35%20GMT	https://htmldemo.net/pebona/pebona/assets/images/cart/cart-2.jpg	E:/Pebona/htmldemo.net/pebona/pebona/assets/images/cart/cart-2.jpg	(from https://htmldemo.net/pebona/pebona/index-5.html)
13:09:56	52824/52824	---MCZ	200	added ('OK')	text/html	etag:W/%2266dde811-ce58%22	https://htmldemo.net/pebona/pebona/cart.html	E:/Pebona/htmldemo.net/pebona/pebona/cart.html	(from https://htmldemo.net/pebona/pebona/index-5.html)
13:09:56	62853/62853	---MCZ	200	added ('OK')	text/html	etag:W/%2266dde811-f585%22	https://htmldemo.net/pebona/pebona/checkout.html	E:/Pebona/htmldemo.net/pebona/pebona/checkout.html	(from https://htmldemo.net/pebona/pebona/index-5.html)
13:09:56	39528/39528	---MCZ	200	added ('OK')	text/html	etag:W/%2266481369-9a68%22	https://htmldemo.net/pebona/pebona/register.html	E:/Pebona/htmldemo.net/pebona/pebona/register.html	(from https://htmldemo.net/pebona/pebona/index-5.html)
13:09:56	32639/32639	---MCZ	200	added ('OK')	text/html	etag:W/%2266dde811-7f7f%22	https://htmldemo.net/pebona/pebona/login.html	E:/Pebona/htmldemo.net/pebona/pebona/login.html	(from https://htmldemo.net/pebona/pebona/index-5.html)
13:09:56	50310/50310	---MCZ	200	added ('OK')	text/html	etag:W/%22656beb68-c486%22	https://htmldemo.net/pebona/pebona/my-account.html	E:/Pebona/htmldemo.net/pebona/pebona/my-account.html	(from https://htmldemo.net/pebona/pebona/index-5.html)
13:09:57	36949/36949	---MCZ	200	added ('OK')	text/html	etag:W/%2266e18da8-9055%22	https://htmldemo.net/pebona/pebona/wishlist.html	E:/Pebona/htmldemo.net/pebona/pebona/wishlist.html	(from https://htmldemo.net/pebona/pebona/index-5.html)
13:09:57	136045/136045	---MCZ	200	added ('OK')	text/html	etag:W/%2266e18da8-2136d%22	https://htmldemo.net/pebona/pebona/index-2.html	E:/Pebona/htmldemo.net/pebona/pebona/index-2.html	(from https://htmldemo.net/pebona/pebona/index-5.html)
13:09:57	126720/126720	---MCZ	200	added ('OK')	text/html	etag:W/%2266e18da8-1ef00%22	https://htmldemo.net/pebona/pebona/index-3.html	E:/Pebona/htmldemo.net/pebona/pebona/index-3.html	(from https://htmldemo.net/pebona/pebona/index-5.html)
13:09:57	123568/123568	---MCZ	200	added ('OK')	text/html	etag:W/%22656beb69-1e2b0%22	https://htmldemo.net/pebona/pebona/index-4.html	E:/Pebona/htmldemo.net/pebona/pebona/index-4.html	(from https://htmldemo.net/pebona/pebona/index-5.html)
